Kilometro_num,Provincia,Cantón,region,Rural_urbano,Calzada_vertical,Calzada_horizontal,hora_grupo,fin_semana,estacion,calzada_tipo,estado_via,clima_grupo,tipo_colision,severidad_tipo_LLM,cobertura_emergencias_canton
3.0,puntarenas,puntarenas,pacífico central,urbana,plano,curva,18:00-23:59,1,invierno,pavimentada,buena,bueno,alcance,7,7
153.0,limón,limón,huetar caribe,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,lluvia,frontal,9,9
5.0,alajuela,poás,central,urbana,pendiente,curva,18:00-23:59,0,verano,pavimentada,buena,bueno,lateral,10,4
51.0,puntarenas,puntarenas,pacífico central,rural,plano,recta,12:00-17:59,1,verano,pavimentada,buena,bueno,alcance,7,7
12.0,puntarenas,corredores,brunca,rural,plano,recta,06:00-11:59,1,verano,pavimentada,buena,bueno,alcance,7,6
19.0,guanacaste,abangares,chorotega,rural,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,lluvia,lateral,10,3
13.0,cartago,turrialba,central,rural,plano,curva,12:00-17:59,0,verano,pavimentada,buena,lluvia,lateral,10,7
25.0,alajuela,san carlos,huetar norte,rural,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,bueno,interseccion,9,7
3.0,san josé,san josé,central,urbana,plano,recta,18:00-23:59,0,verano,pavimentada,buena,bueno,lateral,10,10
1.0,san josé,tibás,central,urbana,plano,recta,06:00-11:59,1,invierno,pavimentada,buena,bueno,alcance,7,10
3.0,san josé,pérez zeledón,brunca,urbana,pendiente,curva,12:00-17:59,0,verano,no_pavimentada,buena,bueno,lateral,10,7
1.0,cartago,alvarado,central,rural,pendiente,curva,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,4
73.0,limón,guácimo,huetar caribe,rural,plano,recta,00:00-05:59,1,verano,pavimentada,buena,bueno,interseccion,9,5
7.0,san josé,vázquez de coronado,central,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,interseccion,9,9
37.0,alajuela,naranjo,central,urbana,plano,recta,06:00-11:59,1,verano,pavimentada,buena,bueno,lateral,10,6
3.0,san josé,goicoechea,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,alcance,7,10
6.0,san josé,goicoechea,central,urbana,plano,recta,06:00-11:59,0,verano,pavimentada,buena,bueno,lateral,10,10
0.0,limón,pococí,huetar caribe,rural,plano,recta,00:00-05:59,0,invierno,pavimentada,buena,bueno,alcance,7,6
10.0,limón,matina,huetar caribe,rural,plano,recta,12:00-17:59,1,invierno,pavimentada,buena,bueno,interseccion,9,3
6.0,alajuela,alajuela,central,urbana,pendiente,curva,12:00-17:59,0,invierno,pavimentada,buena,bueno,lateral,10,10
8.0,alajuela,palmares,central,urbana,pendiente,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,lateral,10,6
0.0,alajuela,san ramón,central,urbana,plano,recta,12:00-17:59,0,invierno,pavimentada,buena,bueno,alcance,7,8
39.0,cartago,turrialba,central,rural,plano,recta,12:00-17:59,0,verano,pavimentada,buena,bueno,lateral,10,7
2.0,san josé,escazú,central,urbana,plano,recta,06:00-11:59,0,invierno,pavimentada,buena,lluvia,interseccion,9,10
21.0,guanacaste,cañas,chorotega,rural,plano,recta,06:00-11:59,1,invierno,pavimentada,riesgo,bueno,lateral,10,7
193.0,guanacaste,bagaces,chorotega,rural,plano,recta,00:00-05:59,0,verano,pavimentada,buena,bueno,alcance,7,4
0.0,san josé,vázquez de coronado,central,urbana,plano,recta,18:00-23:59,1,invierno,pavimentada,buena,bueno,frontal,9,9
2.0,san josé,san josé,central,urbana,pendiente,recta,12:00-17:59,1,invierno,pavimentada,buena,lluvia,interseccion,9,10
165.0,alajuela,upala,huetar norte,rural,pendiente,curva,18:00-23:59,0,invierno,pavimentada,buena,bueno,lateral,10,5
4.0,guanacaste,santa cruz,chorotega,urbana,pendiente,curva,12:00-17:59,0,verano,pavimentada,buena,bueno,alcance,7,6
6.0,san josé,desamparados,central,urbana,plano,recta,12:00-17:59,1,verano,pavimentada,buena,bueno,frontal,9,10
3.0,san josé,san josé,central,urbana,plano,recta,18:00-23:59,0,invierno,pavimentada,buena,bueno,lateral,10,10
10.0,heredia,sarapiquí,huetar norte,rural,plano,curva,18:00-23:59,1,invierno,pavimentada,buena,bueno,alcance,7,2
133.0,guanacaste,nicoya,chorotega,urbana,plano,curva,12:00-17:59,1,invierno,pavimentada,buena,bueno,lateral,10,6
